RRT#: cost: 391.76; iterations: 272
RRT#: cost: 391.44; iterations: 288
RRT#: cost: 389.06; iterations: 312
RRT#: cost: 389.06; iterations: 324
RRT#: cost: 389.06; iterations: 356
RRT#: cost: 389.06; iterations: 376
RRT#: cost: 386.79; iterations: 400
RRT#: cost: 386.79; iterations: 404
RRT#: cost: 386.79; iterations: 406
RRT#: cost: 386.79; iterations: 448
RRT#: cost: 386.79; iterations: 450
RRT#: cost: 386.79; iterations: 454
RRT#: cost: 386.79; iterations: 462
RRT#: cost: 386.79; iterations: 468
RRT#: cost: 383.91; iterations: 480
RRT#: cost: 383.91; iterations: 526
RRT#: cost: 383.87; iterations: 550
RRT#: cost: 383.87; iterations: 578
RRT#: cost: 383.87; iterations: 580
RRT#: cost: 383.87; iterations: 592
RRT#: cost: 383.87; iterations: 598
RRT#: cost: 383.87; iterations: 602
RRT#: cost: 383.87; iterations: 606
RRT#: cost: 383.87; iterations: 630
RRT#: cost: 383.87; iterations: 652
RRT#: cost: 383.87; iterations: 664
RRT#: cost: 383.87; iterations: 666
RRT#: cost: 383.87; iterations: 674
RRT#: cost: 383.87; iterations: 692
RRT#: cost: 383.87; iterations: 702
RRT#: cost: 383.87; iterations: 706
RRT#: cost: 383.87; iterations: 710
RRT#: cost: 383.87; iterations: 722
RRT#: cost: 383.87; iterations: 732
RRT#: cost: 383.87; iterations: 794
RRT#: cost: 383.87; iterations: 802
RRT#: cost: 383.87; iterations: 804
RRT#: cost: 383.87; iterations: 806
RRT#: cost: 383.87; iterations: 816
RRT#: cost: 383.87; iterations: 826
RRT#: cost: 383.87; iterations: 828
RRT#: cost: 383.87; iterations: 850
RRT#: cost: 383.87; iterations: 864
RRT#: cost: 383.87; iterations: 872
RRT#: cost: 383.87; iterations: 874
RRT#: cost: 383.87; iterations: 908
RRT#: cost: 383.87; iterations: 912
RRT#: cost: 383.87; iterations: 934
RRT#: cost: 378.97; iterations: 954
RRT#: cost: 378.97; iterations: 958
RRT#: cost: 378.97; iterations: 962
RRT#: cost: 378.97; iterations: 978
RRT#: cost: 378.95; iterations: 988
RRT#: cost: 378.95; iterations: 992
RRT#: cost: 378.95; iterations: 1028
RRT#: cost: 378.95; iterations: 1044
RRT#: cost: 376.50; iterations: 1074
RRT#: cost: 376.50; iterations: 1084
RRT#: cost: 376.26; iterations: 1088
RRT#: cost: 376.26; iterations: 1112
RRT#: cost: 376.26; iterations: 1120
RRT#: cost: 376.26; iterations: 1124
RRT#: cost: 376.26; iterations: 1132
RRT#: cost: 376.26; iterations: 1142
RRT#: cost: 376.25; iterations: 1180
RRT#: cost: 376.05; iterations: 1198
RRT#: cost: 376.05; iterations: 1212
RRT#: cost: 376.05; iterations: 1220
RRT#: cost: 376.05; iterations: 1236
RRT#: cost: 376.05; iterations: 1242
RRT#: cost: 376.05; iterations: 1254
RRT#: cost: 376.05; iterations: 1264
RRT#: cost: 376.05; iterations: 1274
RRT#: cost: 376.05; iterations: 1284
RRT#: cost: 376.05; iterations: 1306
RRT#: cost: 376.05; iterations: 1314
RRT#: cost: 376.05; iterations: 1316
RRT#: cost: 376.05; iterations: 1320
RRT#: cost: 376.05; iterations: 1328
RRT#: cost: 375.35; iterations: 1370
RRT#: cost: 375.35; iterations: 1400
RRT#: cost: 375.35; iterations: 1416
RRT#: cost: 375.35; iterations: 1436
RRT#: cost: 375.35; iterations: 1438
RRT#: cost: 375.35; iterations: 1472
RRT#: cost: 375.35; iterations: 1484
RRT#: cost: 375.35; iterations: 1490
RRT#: cost: 375.35; iterations: 1494
RRT#: cost: 375.35; iterations: 1504
RRT#: cost: 375.35; iterations: 1506
RRT#: cost: 375.35; iterations: 1516
RRT#: cost: 375.35; iterations: 1522
RRT#: cost: 375.35; iterations: 1536
RRT#: cost: 375.35; iterations: 1568
RRT#: cost: 375.35; iterations: 1594
RRT#: cost: 375.35; iterations: 1616
RRT#: cost: 375.35; iterations: 1636
RRT#: cost: 375.35; iterations: 1648
RRT#: cost: 375.35; iterations: 1680
RRT#: cost: 375.35; iterations: 1682
RRT#: cost: 375.35; iterations: 1684
RRT#: cost: 375.35; iterations: 1692
RRT#: cost: 375.35; iterations: 1700
RRT#: cost: 375.35; iterations: 1706
RRT#: cost: 375.35; iterations: 1712
RRT#: cost: 375.00; iterations: 1722
RRT#: cost: 375.00; iterations: 1724
RRT#: cost: 375.00; iterations: 1726
RRT#: cost: 375.00; iterations: 1742
RRT#: cost: 375.00; iterations: 1746
RRT#: cost: 375.00; iterations: 1802
RRT#: cost: 374.77; iterations: 1812
RRT#: cost: 374.77; iterations: 1816
RRT#: cost: 374.77; iterations: 1820
RRT#: cost: 374.77; iterations: 1834
RRT#: cost: 374.75; iterations: 1838
RRT#: cost: 374.75; iterations: 1846
RRT#: cost: 374.75; iterations: 1856
RRT#: cost: 374.75; iterations: 1858
RRT#: cost: 374.75; iterations: 1864
RRT#: cost: 374.75; iterations: 1892
RRT#: cost: 374.75; iterations: 1900
RRT#: cost: 374.75; iterations: 1944
RRT#: cost: 374.75; iterations: 1948
RRT#: cost: 374.75; iterations: 1952
RRT#: cost: 374.75; iterations: 1956
RRT#: cost: 374.75; iterations: 1960
RRT#: cost: 374.75; iterations: 1968
RRT#: cost: 374.75; iterations: 2008
RRT#: cost: 374.75; iterations: 2012
RRT#: cost: 374.75; iterations: 2048
RRT#: cost: 374.75; iterations: 2054
RRT#: cost: 374.75; iterations: 2068
RRT#: cost: 374.75; iterations: 2072
RRT#: cost: 374.75; iterations: 2082
RRT#: cost: 374.75; iterations: 2084
RRT#: cost: 374.68; iterations: 2108
RRT#: cost: 374.68; iterations: 2114
RRT#: cost: 374.68; iterations: 2116
RRT#: cost: 374.66; iterations: 2140
RRT#: cost: 374.66; iterations: 2146
RRT#: cost: 374.66; iterations: 2148
RRT#: cost: 374.66; iterations: 2152
RRT#: cost: 374.66; iterations: 2160
RRT#: cost: 374.66; iterations: 2162
RRT#: cost: 374.61; iterations: 2164
RRT#: cost: 374.61; iterations: 2168
RRT#: cost: 374.61; iterations: 2178
RRT#: cost: 374.61; iterations: 2180
RRT#: cost: 374.61; iterations: 2230
RRT#: cost: 374.61; iterations: 2248
RRT#: cost: 374.61; iterations: 2258
RRT#: cost: 374.61; iterations: 2260
RRT#: cost: 374.61; iterations: 2272
RRT#: cost: 374.61; iterations: 2300
RRT#: cost: 374.61; iterations: 2302
RRT#: cost: 374.10; iterations: 2304
RRT#: cost: 374.10; iterations: 2308
RRT#: cost: 374.10; iterations: 2310
RRT#: cost: 374.10; iterations: 2314
RRT#: cost: 374.10; iterations: 2328
RRT#: cost: 374.10; iterations: 2334
RRT#: cost: 374.10; iterations: 2336
RRT#: cost: 373.78; iterations: 2342
RRT#: cost: 373.78; iterations: 2348
RRT#: cost: 372.25; iterations: 2360
RRT#: cost: 372.25; iterations: 2370
RRT#: cost: 372.25; iterations: 2372
RRT#: cost: 372.25; iterations: 2380
RRT#: cost: 372.25; iterations: 2396
RRT#: cost: 372.25; iterations: 2400
RRT#: cost: 372.25; iterations: 2410
RRT#: cost: 372.25; iterations: 2420
RRT#: cost: 372.25; iterations: 2422
RRT#: cost: 372.25; iterations: 2424
RRT#: cost: 372.25; iterations: 2430
RRT#: cost: 372.25; iterations: 2446
RRT#: cost: 372.25; iterations: 2454
RRT#: cost: 372.25; iterations: 2504
RRT#: cost: 372.25; iterations: 2524
RRT#: cost: 372.25; iterations: 2528
RRT#: cost: 372.25; iterations: 2538
RRT#: cost: 372.25; iterations: 2542
RRT#: cost: 372.25; iterations: 2548
RRT#: cost: 372.25; iterations: 2556
RRT#: cost: 372.25; iterations: 2560
RRT#: cost: 372.25; iterations: 2580
RRT#: cost: 372.25; iterations: 2590
RRT#: cost: 372.25; iterations: 2618
RRT#: cost: 372.25; iterations: 2648
RRT#: cost: 372.25; iterations: 2652
RRT#: cost: 372.25; iterations: 2656
RRT#: cost: 372.25; iterations: 2670
RRT#: cost: 372.25; iterations: 2704
RRT#: cost: 372.25; iterations: 2744
RRT#: cost: 372.25; iterations: 2766
RRT#: cost: 372.25; iterations: 2798
RRT#: cost: 372.25; iterations: 2824
RRT#: cost: 372.25; iterations: 2844
RRT#: cost: 372.25; iterations: 2850
RRT#: cost: 372.25; iterations: 2876
RRT#: cost: 372.25; iterations: 2894
RRT#: cost: 372.25; iterations: 2902
RRT#: cost: 372.25; iterations: 2908
RRT#: cost: 372.25; iterations: 2926
RRT#: cost: 372.25; iterations: 2978
RRT#: cost: 372.25; iterations: 2990
RRT#: cost: 372.25; iterations: 2998
RRT#: cost: 372.25; iterations: 3054
RRT#: cost: 372.25; iterations: 3068
RRT#: cost: 372.25; iterations: 3076
RRT#: cost: 372.25; iterations: 3098
RRT#: cost: 372.25; iterations: 3100
RRT#: cost: 372.25; iterations: 3104
RRT#: cost: 372.25; iterations: 3124
RRT#: cost: 372.25; iterations: 3132
RRT#: cost: 372.25; iterations: 3142
RRT#: cost: 372.25; iterations: 3158
RRT#: cost: 372.25; iterations: 3162
RRT#: cost: 372.25; iterations: 3166
RRT#: cost: 372.25; iterations: 3180
RRT#: cost: 372.25; iterations: 3186
RRT#: cost: 372.25; iterations: 3192
RRT#: cost: 372.25; iterations: 3206
RRT#: cost: 372.25; iterations: 3212
RRT#: cost: 372.25; iterations: 3218
RRT#: cost: 372.25; iterations: 3232
RRT#: cost: 372.25; iterations: 3256
RRT#: cost: 372.25; iterations: 3272
RRT#: cost: 372.25; iterations: 3276
RRT#: cost: 372.25; iterations: 3286
RRT#: cost: 372.25; iterations: 3314
RRT#: cost: 372.25; iterations: 3328
RRT#: cost: 372.25; iterations: 3334
RRT#: cost: 372.25; iterations: 3340
RRT#: cost: 372.25; iterations: 3348
RRT#: cost: 372.25; iterations: 3388
RRT#: cost: 372.25; iterations: 3446
RRT#: cost: 372.25; iterations: 3460
RRT#: cost: 372.25; iterations: 3462
RRT#: cost: 372.25; iterations: 3498
RRT#: cost: 372.25; iterations: 3508
RRT#: cost: 372.25; iterations: 3534
RRT#: cost: 372.25; iterations: 3538
RRT#: cost: 372.25; iterations: 3564
RRT#: cost: 372.25; iterations: 3566
RRT#: cost: 372.25; iterations: 3570
RRT#: cost: 372.25; iterations: 3576
RRT#: cost: 372.25; iterations: 3596
RRT#: cost: 372.25; iterations: 3606
RRT#: cost: 372.25; iterations: 3614
RRT#: cost: 372.25; iterations: 3638
RRT#: cost: 372.25; iterations: 3644
RRT#: cost: 372.25; iterations: 3648
RRT#: cost: 372.25; iterations: 3656
RRT#: cost: 372.25; iterations: 3658
RRT#: cost: 372.25; iterations: 3672
RRT#: cost: 372.25; iterations: 3698
RRT#: cost: 372.25; iterations: 3702
RRT#: cost: 372.25; iterations: 3704
RRT#: cost: 372.25; iterations: 3706
RRT#: cost: 372.25; iterations: 3718
RRT#: cost: 372.25; iterations: 3730
RRT#: cost: 372.25; iterations: 3736
RRT#: cost: 372.25; iterations: 3738
RRT#: cost: 372.25; iterations: 3744
RRT#: cost: 372.25; iterations: 3746
RRT#: cost: 372.25; iterations: 3750
RRT#: cost: 372.25; iterations: 3754
RRT#: cost: 372.25; iterations: 3772
RRT#: cost: 372.25; iterations: 3780
RRT#: cost: 372.25; iterations: 3788
RRT#: cost: 372.25; iterations: 3794
RRT#: cost: 372.25; iterations: 3816
RRT#: cost: 372.25; iterations: 3830
RRT#: cost: 372.25; iterations: 3850
RRT#: cost: 372.25; iterations: 3860
RRT#: cost: 372.25; iterations: 3908
RRT#: cost: 372.25; iterations: 3930
RRT#: cost: 372.25; iterations: 3940
RRT#: cost: 372.25; iterations: 3970
RRT#: cost: 372.25; iterations: 3978
RRT#: cost: 372.25; iterations: 3992
RRT#: cost: 372.25; iterations: 4004
RRT#: cost: 372.25; iterations: 4006
RRT#: cost: 372.25; iterations: 4008
RRT#: cost: 372.25; iterations: 4012
RRT#: cost: 372.25; iterations: 4044
RRT#: cost: 372.25; iterations: 4046
RRT#: cost: 372.25; iterations: 4074
RRT#: cost: 372.25; iterations: 4098
RRT#: cost: 372.25; iterations: 4108
RRT#: cost: 372.25; iterations: 4110
RRT#: cost: 372.25; iterations: 4132
RRT#: cost: 372.25; iterations: 4146
RRT#: cost: 372.25; iterations: 4172
RRT#: cost: 372.25; iterations: 4184
RRT#: cost: 372.25; iterations: 4212
RRT#: cost: 372.25; iterations: 4214
RRT#: cost: 372.25; iterations: 4220
RRT#: cost: 372.25; iterations: 4272
RRT#: cost: 372.25; iterations: 4288
RRT#: cost: 372.25; iterations: 4298
RRT#: cost: 372.25; iterations: 4308
RRT#: cost: 372.25; iterations: 4310
RRT#: cost: 372.25; iterations: 4312
RRT#: cost: 372.25; iterations: 4328
RRT#: cost: 372.25; iterations: 4340
RRT#: cost: 372.25; iterations: 4348
RRT#: cost: 372.25; iterations: 4354
RRT#: cost: 372.25; iterations: 4358
RRT#: cost: 372.25; iterations: 4360
RRT#: cost: 372.25; iterations: 4374
RRT#: cost: 372.25; iterations: 4396
RRT#: cost: 372.25; iterations: 4412
RRT#: cost: 372.25; iterations: 4416
RRT#: cost: 372.25; iterations: 4418
RRT#: cost: 372.25; iterations: 4436
RRT#: cost: 372.25; iterations: 4472
RRT#: cost: 372.25; iterations: 4480
RRT#: cost: 372.25; iterations: 4484
RRT#: cost: 372.25; iterations: 4498
RRT#: cost: 372.25; iterations: 4504
RRT#: cost: 372.25; iterations: 4528
RRT#: cost: 372.25; iterations: 4534
RRT#: cost: 372.25; iterations: 4542
RRT#: cost: 372.25; iterations: 4548
RRT#: cost: 372.25; iterations: 4558
RRT#: cost: 372.25; iterations: 4564
RRT#: cost: 372.25; iterations: 4566
RRT#: cost: 372.25; iterations: 4574
RRT#: cost: 372.25; iterations: 4580
RRT#: cost: 372.25; iterations: 4588
RRT#: cost: 372.25; iterations: 4590
RRT#: cost: 372.25; iterations: 4598
RRT#: cost: 372.25; iterations: 4606
RRT#: cost: 372.25; iterations: 4630
RRT#: cost: 372.25; iterations: 4632
RRT#: cost: 372.25; iterations: 4634
RRT#: cost: 372.25; iterations: 4646
RRT#: cost: 372.25; iterations: 4650
RRT#: cost: 372.25; iterations: 4668
RRT#: cost: 372.25; iterations: 4692
RRT#: cost: 372.25; iterations: 4716
RRT#: cost: 372.25; iterations: 4722
RRT#: cost: 372.25; iterations: 4724
RRT#: cost: 372.25; iterations: 4726
RRT#: cost: 372.25; iterations: 4736
RRT#: cost: 372.25; iterations: 4740
RRT#: cost: 372.25; iterations: 4744
RRT#: cost: 372.25; iterations: 4750
RRT#: cost: 372.25; iterations: 4754
RRT#: cost: 372.25; iterations: 4758
RRT#: cost: 372.25; iterations: 4770
RRT#: cost: 372.25; iterations: 4780
RRT#: cost: 372.25; iterations: 4784
RRT#: cost: 372.25; iterations: 4790
RRT#: cost: 372.25; iterations: 4800
RRT#: cost: 372.25; iterations: 4830
RRT#: cost: 372.25; iterations: 4838
RRT#: cost: 372.25; iterations: 4840
RRT#: cost: 372.25; iterations: 4860
RRT#: cost: 372.25; iterations: 4884
RRT#: cost: 372.25; iterations: 4934
