RRT*_ML: time: 0.002343; iterations: 0
RRT*_ML: time: 0.002541; iterations: 10
RRT*_ML: time: 0.033784; iterations: 20
RRT*_ML: time: 0.001676; iterations: 30
RRT*_ML: time: 0.002766; iterations: 40
RRT*_ML: time: 0.002588; iterations: 50
RRT*_ML: time: 0.006468; iterations: 60
RRT*_ML: time: 0.002517; iterations: 70
RRT*_ML: time: 0.001614; iterations: 80
RRT*_ML: time: 0.006377; iterations: 90
RRT*_ML: time: 0.002391; iterations: 100
RRT*_ML: time: 0.003204; iterations: 110
RRT*_ML: time: 0.003139; iterations: 120
RRT*_ML: time: 0.004678; iterations: 130
RRT*_ML: time: 0.002543; iterations: 140
RRT*_ML: time: 0.003253; iterations: 150
RRT*_ML: time: 0.001138; iterations: 160
RRT*_ML: time: 0.008956; iterations: 170
RRT*_ML: time: 0.008173; iterations: 180
RRT*_ML: time: 0.016185; iterations: 190
RRT*_ML: time: 0.010972; iterations: 200
RRT*_ML: time: 0.009911; iterations: 210
RRT*_ML: time: 0.002934; iterations: 220
RRT*_ML: time: 0.003717; iterations: 230
RRT*_ML: time: 0.006295; iterations: 240
RRT*_ML: time: 0.001212; iterations: 250
RRT*_ML: time: 0.0045; iterations: 260
RRT*_ML: time: 0.008807; iterations: 270
RRT*_ML: time: 0.002942; iterations: 280
RRT*_ML: time: 0.004875; iterations: 290
RRT*_ML: time: 0.007469; iterations: 300
RRT*_ML: time: 0.001323; iterations: 310
RRT*_ML: time: 0.004118; iterations: 320
RRT*_ML: time: 0.006019; iterations: 330
RRT*_ML: time: 0.006025; iterations: 340
RRT*_ML: time: 0.001304; iterations: 350
RRT*_ML: time: 0.004293; iterations: 360
RRT*_ML: time: 0.012914; iterations: 370
RRT*_ML: time: 0.00547; iterations: 380
RRT*_ML: time: 0.012315; iterations: 390
RRT*_ML: time: 0.010283; iterations: 400
RRT*_ML: time: 0.003527; iterations: 410
RRT*_ML: time: 0.01066; iterations: 420
RRT*_ML: time: 0.00566; iterations: 430
RRT*_ML: time: 0.004762; iterations: 440
RRT*_ML: time: 0.003464; iterations: 450
RRT*_ML: time: 0.006852; iterations: 460
RRT*_ML: time: 0.006807; iterations: 470
RRT*_ML: time: 0.00389; iterations: 480
RRT*_ML: time: 0.006036; iterations: 490
RRT*_ML: time: 0.008176; iterations: 500
RRT*_ML: time: 0.009504; iterations: 510
RRT*_ML: time: 0.006225; iterations: 520
RRT*_ML: time: 0.010627; iterations: 530
RRT*_ML: time: 0.005222; iterations: 540
RRT*_ML: time: 0.005296; iterations: 550
RRT*_ML: time: 0.021577; iterations: 560
RRT*_ML: time: 0.001569; iterations: 570
RRT*_ML: time: 0.006284; iterations: 580
RRT*_ML: time: 0.011321; iterations: 590
RRT*_ML: time: 0.008082; iterations: 600
RRT*_ML: time: 0.002815; iterations: 610
RRT*_ML: time: 0.017776; iterations: 620
RRT*_ML: time: 0.007924; iterations: 630
RRT*_ML: time: 0.012681; iterations: 640
RRT*_ML: time: 0.017178; iterations: 650
RRT*_ML: time: 0.014783; iterations: 660
RRT*_ML: time: 0.016008; iterations: 670
RRT*_ML: time: 0.00577; iterations: 680
RRT*_ML: time: 0.001849; iterations: 690
RRT*_ML: time: 0.015108; iterations: 700
RRT*_ML: time: 0.003139; iterations: 710
RRT*_ML: time: 0.012735; iterations: 720
RRT*_ML: time: 0.004719; iterations: 730
RRT*_ML: time: 0.014567; iterations: 740
RRT*_ML: time: 0.006058; iterations: 750
RRT*_ML: time: 0.007567; iterations: 760
RRT*_ML: time: 0.007488; iterations: 770
RRT*_ML: time: 0.007704; iterations: 780
RRT*_ML: time: 0.010663; iterations: 790
RRT*_ML: time: 0.006345; iterations: 800
RRT*_ML: time: 0.27841; iterations: 810
RRT*_ML: time: 0.03615; iterations: 820
RRT*_ML: time: 0.005204; iterations: 830
RRT*_ML: time: 0.005911; iterations: 840
RRT*_ML: time: 0.05149; iterations: 850
RRT*_ML: time: 0.003508; iterations: 860
RRT*_ML: time: 0.026747; iterations: 870
RRT*_ML: time: 0.045522; iterations: 880
RRT*_ML: time: 0.03856; iterations: 890
RRT*_ML: time: 0.018595; iterations: 900
RRT*_ML: time: 0.049527; iterations: 910
RRT*_ML: time: 0.026875; iterations: 920
RRT*_ML: time: 0.047455; iterations: 930
RRT*_ML: time: 0.021185; iterations: 940
RRT*_ML: time: 0.019679; iterations: 950
RRT*_ML: time: 0.031692; iterations: 960
RRT*_ML: time: 0.032274; iterations: 970
RRT*_ML: time: 0.014829; iterations: 980
RRT*_ML: time: 0.015363; iterations: 990
RRT*_ML: time: 0.015055; iterations: 1000
RRT*_ML: time: 0.018856; iterations: 1010
RRT*_ML: time: 0.025028; iterations: 1020
RRT*_ML: time: 0.016094; iterations: 1030
RRT*_ML: time: 0.012321; iterations: 1040
RRT*_ML: time: 0.03165; iterations: 1050
RRT*_ML: time: 0.038725; iterations: 1060
RRT*_ML: time: 0.024636; iterations: 1070
RRT*_ML: time: 0.030391; iterations: 1080
RRT*_ML: time: 0.028543; iterations: 1090
RRT*_ML: time: 0.041242; iterations: 1100
RRT*_ML: time: 0.018981; iterations: 1110
RRT*_ML: time: 0.016832; iterations: 1120
RRT*_ML: time: 0.013746; iterations: 1130
RRT*_ML: time: 0.01107; iterations: 1140
RRT*_ML: time: 0.027652; iterations: 1150
RRT*_ML: time: 0.021697; iterations: 1160
RRT*_ML: time: 0.019302; iterations: 1170
RRT*_ML: time: 0.015542; iterations: 1180
RRT*_ML: time: 0.00644; iterations: 1190
RRT*_ML: time: 0.035659; iterations: 1200
RRT*_ML: time: 0.035566; iterations: 1210
RRT*_ML: time: 0.015201; iterations: 1220
RRT*_ML: time: 0.013397; iterations: 1230
RRT*_ML: time: 0.022326; iterations: 1240
RRT*_ML: time: 0.01768; iterations: 1250
RRT*_ML: time: 0.056194; iterations: 1260
RRT*_ML: time: 0.044336; iterations: 1270
RRT*_ML: time: 0.032169; iterations: 1280
RRT*_ML: time: 0.052772; iterations: 1290
RRT*_ML: time: 0.024684; iterations: 1300
RRT*_ML: time: 0.024971; iterations: 1310
RRT*_ML: time: 0.046742; iterations: 1320
RRT*_ML: time: 0.03467; iterations: 1330
RRT*_ML: time: 0.027577; iterations: 1340
RRT*_ML: time: 0.032441; iterations: 1350
RRT*_ML: time: 0.041642; iterations: 1360
RRT*_ML: time: 0.011993; iterations: 1370
RRT*_ML: time: 0.023792; iterations: 1380
RRT*_ML: time: 0.01906; iterations: 1390
RRT*_ML: time: 0.024126; iterations: 1400
RRT*_ML: time: 0.036267; iterations: 1410
RRT*_ML: time: 0.036215; iterations: 1420
RRT*_ML: time: 0.031195; iterations: 1430
RRT*_ML: time: 0.025509; iterations: 1440
RRT*_ML: time: 0.032093; iterations: 1450
RRT*_ML: time: 0.022373; iterations: 1460
RRT*_ML: time: 0.029918; iterations: 1470
RRT*_ML: time: 0.025055; iterations: 1480
