RRT#: cost: 243.87; iterations: 266
RRT#: cost: 243.81; iterations: 270
RRT#: cost: 243.81; iterations: 274
RRT#: cost: 243.81; iterations: 286
RRT#: cost: 243.81; iterations: 292
RRT#: cost: 243.81; iterations: 302
RRT#: cost: 243.63; iterations: 306
RRT#: cost: 235.16; iterations: 312
RRT#: cost: 235.16; iterations: 326
RRT#: cost: 235.16; iterations: 342
RRT#: cost: 235.16; iterations: 376
RRT#: cost: 235.16; iterations: 384
RRT#: cost: 235.03; iterations: 414
RRT#: cost: 235.03; iterations: 444
RRT#: cost: 235.03; iterations: 456
RRT#: cost: 234.27; iterations: 460
RRT#: cost: 234.27; iterations: 468
RRT#: cost: 234.27; iterations: 474
RRT#: cost: 234.27; iterations: 490
RRT#: cost: 234.27; iterations: 492
RRT#: cost: 234.27; iterations: 504
RRT#: cost: 234.27; iterations: 516
RRT#: cost: 234.27; iterations: 524
RRT#: cost: 234.27; iterations: 528
RRT#: cost: 234.27; iterations: 538
RRT#: cost: 234.27; iterations: 540
RRT#: cost: 234.27; iterations: 542
RRT#: cost: 234.27; iterations: 558
RRT#: cost: 234.27; iterations: 574
RRT#: cost: 234.27; iterations: 604
RRT#: cost: 234.27; iterations: 606
RRT#: cost: 234.27; iterations: 620
RRT#: cost: 234.27; iterations: 628
RRT#: cost: 234.27; iterations: 638
RRT#: cost: 234.27; iterations: 646
RRT#: cost: 234.27; iterations: 652
RRT#: cost: 234.27; iterations: 698
RRT#: cost: 234.27; iterations: 718
RRT#: cost: 234.27; iterations: 720
RRT#: cost: 234.27; iterations: 722
RRT#: cost: 233.05; iterations: 732
RRT#: cost: 233.05; iterations: 744
RRT#: cost: 233.05; iterations: 754
RRT#: cost: 233.05; iterations: 770
RRT#: cost: 233.05; iterations: 778
RRT#: cost: 233.05; iterations: 786
RRT#: cost: 233.05; iterations: 816
RRT#: cost: 233.05; iterations: 822
RRT#: cost: 233.05; iterations: 828
RRT#: cost: 233.05; iterations: 834
RRT#: cost: 233.05; iterations: 846
RRT#: cost: 233.05; iterations: 860
RRT#: cost: 233.05; iterations: 864
RRT#: cost: 233.05; iterations: 866
RRT#: cost: 233.05; iterations: 872
RRT#: cost: 232.43; iterations: 898
RRT#: cost: 232.43; iterations: 916
RRT#: cost: 232.43; iterations: 924
RRT#: cost: 232.43; iterations: 936
RRT#: cost: 232.43; iterations: 940
RRT#: cost: 232.43; iterations: 944
RRT#: cost: 232.43; iterations: 976
RRT#: cost: 232.43; iterations: 984
RRT#: cost: 232.43; iterations: 990
RRT#: cost: 232.43; iterations: 1024
RRT#: cost: 232.43; iterations: 1030
RRT#: cost: 232.43; iterations: 1052
RRT#: cost: 232.43; iterations: 1058
RRT#: cost: 231.66; iterations: 1092
RRT#: cost: 231.66; iterations: 1118
RRT#: cost: 231.66; iterations: 1122
RRT#: cost: 231.66; iterations: 1124
RRT#: cost: 231.66; iterations: 1144
RRT#: cost: 231.66; iterations: 1146
RRT#: cost: 231.66; iterations: 1148
RRT#: cost: 231.66; iterations: 1166
RRT#: cost: 231.66; iterations: 1168
RRT#: cost: 231.66; iterations: 1180
RRT#: cost: 231.66; iterations: 1204
RRT#: cost: 231.66; iterations: 1208
RRT#: cost: 231.66; iterations: 1220
RRT#: cost: 231.66; iterations: 1240
RRT#: cost: 231.66; iterations: 1248
RRT#: cost: 231.66; iterations: 1270
RRT#: cost: 231.66; iterations: 1276
RRT#: cost: 231.66; iterations: 1292
RRT#: cost: 231.66; iterations: 1296
RRT#: cost: 231.66; iterations: 1302
RRT#: cost: 230.61; iterations: 1306
RRT#: cost: 230.61; iterations: 1344
RRT#: cost: 230.61; iterations: 1360
RRT#: cost: 230.61; iterations: 1374
RRT#: cost: 230.61; iterations: 1376
RRT#: cost: 230.61; iterations: 1378
RRT#: cost: 230.61; iterations: 1380
RRT#: cost: 230.61; iterations: 1384
RRT#: cost: 230.61; iterations: 1388
RRT#: cost: 230.61; iterations: 1394
RRT#: cost: 230.61; iterations: 1398
RRT#: cost: 230.61; iterations: 1404
RRT#: cost: 230.61; iterations: 1412
RRT#: cost: 230.61; iterations: 1424
RRT#: cost: 230.52; iterations: 1442
RRT#: cost: 230.52; iterations: 1448
RRT#: cost: 230.52; iterations: 1456
RRT#: cost: 230.52; iterations: 1470
RRT#: cost: 230.52; iterations: 1472
RRT#: cost: 230.52; iterations: 1510
RRT#: cost: 230.51; iterations: 1514
RRT#: cost: 230.51; iterations: 1528
RRT#: cost: 230.51; iterations: 1550
RRT#: cost: 230.51; iterations: 1560
RRT#: cost: 230.51; iterations: 1566
RRT#: cost: 230.51; iterations: 1574
RRT#: cost: 230.51; iterations: 1588
RRT#: cost: 230.51; iterations: 1590
RRT#: cost: 230.51; iterations: 1600
RRT#: cost: 230.51; iterations: 1602
RRT#: cost: 230.51; iterations: 1606
RRT#: cost: 230.51; iterations: 1608
RRT#: cost: 230.51; iterations: 1612
RRT#: cost: 230.51; iterations: 1644
RRT#: cost: 230.51; iterations: 1648
RRT#: cost: 230.51; iterations: 1650
RRT#: cost: 230.51; iterations: 1652
RRT#: cost: 230.51; iterations: 1670
RRT#: cost: 230.51; iterations: 1672
RRT#: cost: 230.51; iterations: 1678
RRT#: cost: 230.51; iterations: 1684
RRT#: cost: 230.51; iterations: 1690
RRT#: cost: 230.51; iterations: 1710
