InformedRRTstar: cost: 405.38; iterations: 1020
InformedRRTstar: cost: 404.35; iterations: 1075
InformedRRTstar: cost: 401.80; iterations: 1100
InformedRRTstar: cost: 401.80; iterations: 1110
InformedRRTstar: cost: 401.80; iterations: 1125
InformedRRTstar: cost: 399.49; iterations: 1150
InformedRRTstar: cost: 399.49; iterations: 1160
InformedRRTstar: cost: 399.49; iterations: 1195
InformedRRTstar: cost: 399.15; iterations: 1220
InformedRRTstar: cost: 399.15; iterations: 1225
InformedRRTstar: cost: 399.15; iterations: 1240
InformedRRTstar: cost: 399.15; iterations: 1255
InformedRRTstar: cost: 399.15; iterations: 1265
InformedRRTstar: cost: 399.07; iterations: 1285
InformedRRTstar: cost: 399.07; iterations: 1305
InformedRRTstar: cost: 398.67; iterations: 1315
InformedRRTstar: cost: 398.67; iterations: 1320
InformedRRTstar: cost: 398.67; iterations: 1335
InformedRRTstar: cost: 398.67; iterations: 1350
InformedRRTstar: cost: 397.04; iterations: 1380
InformedRRTstar: cost: 397.04; iterations: 1445
InformedRRTstar: cost: 397.04; iterations: 1535
InformedRRTstar: cost: 396.57; iterations: 1555
InformedRRTstar: cost: 396.57; iterations: 1565
InformedRRTstar: cost: 396.57; iterations: 1635
InformedRRTstar: cost: 396.57; iterations: 1640
InformedRRTstar: cost: 396.57; iterations: 1645
InformedRRTstar: cost: 396.57; iterations: 1660
InformedRRTstar: cost: 396.57; iterations: 1670
InformedRRTstar: cost: 396.57; iterations: 1685
InformedRRTstar: cost: 396.57; iterations: 1725
InformedRRTstar: cost: 396.57; iterations: 1740
InformedRRTstar: cost: 396.57; iterations: 1750
InformedRRTstar: cost: 396.57; iterations: 1780
InformedRRTstar: cost: 396.57; iterations: 1820
InformedRRTstar: cost: 396.57; iterations: 1865
InformedRRTstar: cost: 396.12; iterations: 1870
InformedRRTstar: cost: 395.18; iterations: 1925
InformedRRTstar: cost: 395.18; iterations: 1955
InformedRRTstar: cost: 395.18; iterations: 1970
InformedRRTstar: cost: 395.18; iterations: 1995
InformedRRTstar: cost: 395.18; iterations: 2035
InformedRRTstar: cost: 395.18; iterations: 2075
InformedRRTstar: cost: 395.18; iterations: 2085
InformedRRTstar: cost: 395.18; iterations: 2100
InformedRRTstar: cost: 395.18; iterations: 2115
InformedRRTstar: cost: 395.18; iterations: 2125
InformedRRTstar: cost: 395.18; iterations: 2130
InformedRRTstar: cost: 395.18; iterations: 2140
InformedRRTstar: cost: 395.18; iterations: 2155
InformedRRTstar: cost: 395.18; iterations: 2215
InformedRRTstar: cost: 395.18; iterations: 2225
InformedRRTstar: cost: 395.18; iterations: 2230
InformedRRTstar: cost: 395.18; iterations: 2245
InformedRRTstar: cost: 395.18; iterations: 2270
InformedRRTstar: cost: 395.18; iterations: 2295
InformedRRTstar: cost: 395.18; iterations: 2310
InformedRRTstar: cost: 395.18; iterations: 2315
InformedRRTstar: cost: 395.18; iterations: 2320
InformedRRTstar: cost: 395.18; iterations: 2330
InformedRRTstar: cost: 394.92; iterations: 2440
InformedRRTstar: cost: 394.92; iterations: 2445
InformedRRTstar: cost: 394.92; iterations: 2450
InformedRRTstar: cost: 394.92; iterations: 2460
InformedRRTstar: cost: 394.68; iterations: 2480
InformedRRTstar: cost: 394.68; iterations: 2485
InformedRRTstar: cost: 394.68; iterations: 2495
InformedRRTstar: cost: 394.68; iterations: 2510
InformedRRTstar: cost: 394.68; iterations: 2530
InformedRRTstar: cost: 394.68; iterations: 2545
InformedRRTstar: cost: 394.68; iterations: 2570
InformedRRTstar: cost: 394.68; iterations: 2600
InformedRRTstar: cost: 394.68; iterations: 2690
InformedRRTstar: cost: 394.68; iterations: 2710
InformedRRTstar: cost: 394.68; iterations: 2715
InformedRRTstar: cost: 394.68; iterations: 2765
InformedRRTstar: cost: 394.68; iterations: 2795
InformedRRTstar: cost: 394.68; iterations: 2865
InformedRRTstar: cost: 394.68; iterations: 2900
InformedRRTstar: cost: 394.68; iterations: 2905
InformedRRTstar: cost: 394.68; iterations: 2910
InformedRRTstar: cost: 394.68; iterations: 2935
InformedRRTstar: cost: 394.68; iterations: 2945
InformedRRTstar: cost: 394.68; iterations: 3000
InformedRRTstar: cost: 394.68; iterations: 3005
InformedRRTstar: cost: 394.68; iterations: 3065
InformedRRTstar: cost: 394.68; iterations: 3115
InformedRRTstar: cost: 394.68; iterations: 3140
InformedRRTstar: cost: 394.68; iterations: 3150
InformedRRTstar: cost: 394.68; iterations: 3175
InformedRRTstar: cost: 394.68; iterations: 3180
InformedRRTstar: cost: 394.68; iterations: 3195
InformedRRTstar: cost: 394.68; iterations: 3200
InformedRRTstar: cost: 394.68; iterations: 3205
InformedRRTstar: cost: 394.68; iterations: 3220
InformedRRTstar: cost: 394.68; iterations: 3245
