RRT#: cost: 431.54; iterations: 1188
RRT#: cost: 429.86; iterations: 1194
RRT#: cost: 429.86; iterations: 1196
RRT#: cost: 429.86; iterations: 1198
RRT#: cost: 429.86; iterations: 1204
RRT#: cost: 424.02; iterations: 1206
RRT#: cost: 423.41; iterations: 1212
RRT#: cost: 423.41; iterations: 1218
RRT#: cost: 422.35; iterations: 1228
RRT#: cost: 422.35; iterations: 1240
RRT#: cost: 422.35; iterations: 1242
RRT#: cost: 422.35; iterations: 1250
RRT#: cost: 422.35; iterations: 1252
RRT#: cost: 422.35; iterations: 1260
RRT#: cost: 416.59; iterations: 1276
RRT#: cost: 414.69; iterations: 1280
RRT#: cost: 414.69; iterations: 1290
RRT#: cost: 414.69; iterations: 1304
RRT#: cost: 414.69; iterations: 1308
RRT#: cost: 414.69; iterations: 1338
RRT#: cost: 414.69; iterations: 1342
RRT#: cost: 414.69; iterations: 1356
RRT#: cost: 414.69; iterations: 1364
RRT#: cost: 414.69; iterations: 1366
RRT#: cost: 414.69; iterations: 1374
RRT#: cost: 414.69; iterations: 1376
RRT#: cost: 414.69; iterations: 1382
RRT#: cost: 414.69; iterations: 1384
RRT#: cost: 411.15; iterations: 1388
RRT#: cost: 411.15; iterations: 1390
RRT#: cost: 411.15; iterations: 1400
RRT#: cost: 411.15; iterations: 1410
RRT#: cost: 411.15; iterations: 1420
RRT#: cost: 411.15; iterations: 1426
RRT#: cost: 411.15; iterations: 1460
RRT#: cost: 411.15; iterations: 1464
RRT#: cost: 411.15; iterations: 1472
RRT#: cost: 411.15; iterations: 1492
RRT#: cost: 410.75; iterations: 1494
RRT#: cost: 410.75; iterations: 1500
RRT#: cost: 410.75; iterations: 1516
RRT#: cost: 410.75; iterations: 1518
RRT#: cost: 410.75; iterations: 1524
RRT#: cost: 410.75; iterations: 1528
RRT#: cost: 410.75; iterations: 1550
RRT#: cost: 410.75; iterations: 1568
RRT#: cost: 410.75; iterations: 1572
RRT#: cost: 410.75; iterations: 1576
RRT#: cost: 410.75; iterations: 1588
RRT#: cost: 410.75; iterations: 1596
RRT#: cost: 410.75; iterations: 1598
RRT#: cost: 410.75; iterations: 1604
RRT#: cost: 410.75; iterations: 1620
RRT#: cost: 410.75; iterations: 1624
RRT#: cost: 410.75; iterations: 1630
RRT#: cost: 410.75; iterations: 1638
RRT#: cost: 410.75; iterations: 1642
RRT#: cost: 410.75; iterations: 1652
RRT#: cost: 410.75; iterations: 1658
RRT#: cost: 410.75; iterations: 1668
RRT#: cost: 410.75; iterations: 1694
RRT#: cost: 410.75; iterations: 1706
RRT#: cost: 410.22; iterations: 1714
RRT#: cost: 410.22; iterations: 1720
RRT#: cost: 410.22; iterations: 1724
RRT#: cost: 410.22; iterations: 1764
RRT#: cost: 410.22; iterations: 1766
RRT#: cost: 410.22; iterations: 1770
RRT#: cost: 410.22; iterations: 1780
RRT#: cost: 410.22; iterations: 1788
RRT#: cost: 410.22; iterations: 1792
RRT#: cost: 410.22; iterations: 1796
RRT#: cost: 410.22; iterations: 1800
RRT#: cost: 406.92; iterations: 1806
RRT#: cost: 406.92; iterations: 1810
RRT#: cost: 406.92; iterations: 1814
RRT#: cost: 406.92; iterations: 1830
RRT#: cost: 406.92; iterations: 1834
RRT#: cost: 406.92; iterations: 1848
RRT#: cost: 406.92; iterations: 1852
RRT#: cost: 406.92; iterations: 1854
RRT#: cost: 406.92; iterations: 1874
RRT#: cost: 406.92; iterations: 1878
RRT#: cost: 406.92; iterations: 1902
RRT#: cost: 406.92; iterations: 1912
RRT#: cost: 406.92; iterations: 1940
RRT#: cost: 406.92; iterations: 1948
RRT#: cost: 406.92; iterations: 1954
RRT#: cost: 406.92; iterations: 1960
RRT#: cost: 406.92; iterations: 1962
RRT#: cost: 406.92; iterations: 1966
RRT#: cost: 406.92; iterations: 1984
RRT#: cost: 406.92; iterations: 1988
RRT#: cost: 406.92; iterations: 2006
RRT#: cost: 406.46; iterations: 2016
RRT#: cost: 406.26; iterations: 2020
RRT#: cost: 406.26; iterations: 2026
RRT#: cost: 406.26; iterations: 2028
RRT#: cost: 406.26; iterations: 2030
RRT#: cost: 406.26; iterations: 2044
RRT#: cost: 406.26; iterations: 2050
RRT#: cost: 406.26; iterations: 2052
RRT#: cost: 406.26; iterations: 2060
RRT#: cost: 406.26; iterations: 2072
