RRTstar_ml: cost: 425.71; iterations: 1061
RRTstar_ml: cost: 424.44; iterations: 1083
RRTstar_ml: cost: 424.44; iterations: 1100
RRTstar_ml: cost: 424.37; iterations: 1105
RRTstar_ml: cost: 424.37; iterations: 1126
RRTstar_ml: cost: 419.66; iterations: 1141
RRTstar_ml: cost: 419.66; iterations: 1150
RRTstar_ml: cost: 418.2; iterations: 1169
RRTstar_ml: cost: 418.2; iterations: 1177
RRTstar_ml: cost: 418.2; iterations: 1179
RRTstar_ml: cost: 418.2; iterations: 1186
RRTstar_ml: cost: 418.2; iterations: 1191
RRTstar_ml: cost: 418.2; iterations: 1200
RRTstar_ml: cost: 418.2; iterations: 1204
RRTstar_ml: cost: 418.2; iterations: 1216
RRTstar_ml: cost: 418.2; iterations: 1218
RRTstar_ml: cost: 418.2; iterations: 1220
RRTstar_ml: cost: 418.2; iterations: 1221
RRTstar_ml: cost: 417.07; iterations: 1243
RRTstar_ml: cost: 417.07; iterations: 1283
RRTstar_ml: cost: 417.07; iterations: 1289
RRTstar_ml: cost: 417.07; iterations: 1292
RRTstar_ml: cost: 417.07; iterations: 1297
RRTstar_ml: cost: 417.07; iterations: 1300
RRTstar_ml: cost: 417.07; iterations: 1328
RRTstar_ml: cost: 417.07; iterations: 1329
RRTstar_ml: cost: 417.07; iterations: 1334
RRTstar_ml: cost: 417.07; iterations: 1335
RRTstar_ml: cost: 417.07; iterations: 1339
RRTstar_ml: cost: 417.07; iterations: 1342
RRTstar_ml: cost: 417.07; iterations: 1348
RRTstar_ml: cost: 417.07; iterations: 1349
RRTstar_ml: cost: 417.07; iterations: 1350
RRTstar_ml: cost: 417.07; iterations: 1360
RRTstar_ml: cost: 417.07; iterations: 1361
RRTstar_ml: cost: 417.07; iterations: 1362
RRTstar_ml: cost: 417.07; iterations: 1375
RRTstar_ml: cost: 417.07; iterations: 1377
RRTstar_ml: cost: 417.07; iterations: 1382
RRTstar_ml: cost: 417.07; iterations: 1383
RRTstar_ml: cost: 417.07; iterations: 1399
RRTstar_ml: cost: 417.07; iterations: 1400
RRTstar_ml: cost: 417.07; iterations: 1401
RRTstar_ml: cost: 417.07; iterations: 1406
RRTstar_ml: cost: 417.07; iterations: 1410
RRTstar_ml: cost: 416.83; iterations: 1412
RRTstar_ml: cost: 416.83; iterations: 1437
RRTstar_ml: cost: 416.83; iterations: 1451
RRTstar_ml: cost: 416.7; iterations: 1457
RRTstar_ml: cost: 416.7; iterations: 1468
RRTstar_ml: cost: 416.7; iterations: 1486
RRTstar_ml: cost: 416.7; iterations: 1500
RRTstar_ml: cost: 415.91; iterations: 1509
RRTstar_ml: cost: 415.91; iterations: 1511
RRTstar_ml: cost: 415.91; iterations: 1516
RRTstar_ml: cost: 415.91; iterations: 1522
RRTstar_ml: cost: 415.91; iterations: 1523
RRTstar_ml: cost: 415.91; iterations: 1528
RRTstar_ml: cost: 415.91; iterations: 1529
RRTstar_ml: cost: 415.91; iterations: 1533
RRTstar_ml: cost: 415.91; iterations: 1534
RRTstar_ml: cost: 415.91; iterations: 1551
RRTstar_ml: cost: 414.11; iterations: 1564
RRTstar_ml: cost: 414.11; iterations: 1600
RRTstar_ml: cost: 408.38; iterations: 1601
RRTstar_ml: cost: 408.38; iterations: 1605
RRTstar_ml: cost: 408.38; iterations: 1606
RRTstar_ml: cost: 408.38; iterations: 1637
RRTstar_ml: cost: 408.38; iterations: 1646
RRTstar_ml: cost: 408.38; iterations: 1673
RRTstar_ml: cost: 408.38; iterations: 1674
RRTstar_ml: cost: 408.38; iterations: 1678
RRTstar_ml: cost: 408.38; iterations: 1694
RRTstar_ml: cost: 408.38; iterations: 1700
RRTstar_ml: cost: 408.38; iterations: 1714
RRTstar_ml: cost: 408.38; iterations: 1729
RRTstar_ml: cost: 408.38; iterations: 1737
RRTstar_ml: cost: 408.38; iterations: 1752
RRTstar_ml: cost: 408.38; iterations: 1759
RRTstar_ml: cost: 408.38; iterations: 1762
RRTstar_ml: cost: 408.38; iterations: 1765
RRTstar_ml: cost: 408.38; iterations: 1785
RRTstar_ml: cost: 408.32; iterations: 1795
RRTstar_ml: cost: 408.32; iterations: 1800
RRTstar_ml: cost: 408.32; iterations: 1810
RRTstar_ml: cost: 408.32; iterations: 1819
RRTstar_ml: cost: 408.32; iterations: 1825
RRTstar_ml: cost: 408.32; iterations: 1864
RRTstar_ml: cost: 408.32; iterations: 1886
RRTstar_ml: cost: 408.32; iterations: 1900
RRTstar_ml: cost: 408.07; iterations: 1926
RRTstar_ml: cost: 408.07; iterations: 1930
RRTstar_ml: cost: 406.86; iterations: 1962
RRTstar_ml: cost: 406.86; iterations: 1971
RRTstar_ml: cost: 406.86; iterations: 1994
RRTstar_ml: cost: 406.86; iterations: 2000
RRTstar_ml: cost: 406.86; iterations: 2041
RRTstar_ml: cost: 406.86; iterations: 2076
RRTstar_ml: cost: 406.86; iterations: 2100
RRTstar_ml: cost: 406.14; iterations: 2108
RRTstar_ml: cost: 406.14; iterations: 2139
RRTstar_ml: cost: 406.14; iterations: 2153
RRTstar_ml: cost: 406.14; iterations: 2157
RRTstar_ml: cost: 405.21; iterations: 2181
RRTstar_ml: cost: 405.21; iterations: 2200
RRTstar_ml: cost: 405.21; iterations: 2206
RRTstar_ml: cost: 405.21; iterations: 2219
RRTstar_ml: cost: 405.21; iterations: 2220
RRTstar_ml: cost: 405.21; iterations: 2221
RRTstar_ml: cost: 405.21; iterations: 2248
RRTstar_ml: cost: 405.21; iterations: 2249
RRTstar_ml: cost: 405.21; iterations: 2253
RRTstar_ml: cost: 405.21; iterations: 2263
RRTstar_ml: cost: 405.21; iterations: 2300
RRTstar_ml: cost: 404.84; iterations: 2302
RRTstar_ml: cost: 404.84; iterations: 2342
RRTstar_ml: cost: 404.84; iterations: 2373
RRTstar_ml: cost: 404.84; iterations: 2386
RRTstar_ml: cost: 404.84; iterations: 2390
RRTstar_ml: cost: 404.84; iterations: 2400
RRTstar_ml: cost: 404.14; iterations: 2408
RRTstar_ml: cost: 404.14; iterations: 2424
RRTstar_ml: cost: 404.14; iterations: 2443
RRTstar_ml: cost: 404.14; iterations: 2449
RRTstar_ml: cost: 404.09; iterations: 2497
RRTstar_ml: cost: 404.09; iterations: 2500
RRTstar_ml: cost: 404.09; iterations: 2514
RRTstar_ml: cost: 404.09; iterations: 2588
RRTstar_ml: cost: 404.09; iterations: 2600
RRTstar_ml: cost: 404.09; iterations: 2603
RRTstar_ml: cost: 404.08; iterations: 2608
RRTstar_ml: cost: 404.08; iterations: 2665
RRTstar_ml: cost: 404.08; iterations: 2669
RRTstar_ml: cost: 404.08; iterations: 2680
RRTstar_ml: cost: 404.08; iterations: 2700
RRTstar_ml: cost: 402.03; iterations: 2700
RRTstar_ml: cost: 402.03; iterations: 2707
RRTstar_ml: cost: 402.03; iterations: 2726
RRTstar_ml: cost: 402.03; iterations: 2746
RRTstar_ml: cost: 402.03; iterations: 2794
RRTstar_ml: cost: 402.03; iterations: 2800
RRTstar_ml: cost: 402.03; iterations: 2804
RRTstar_ml: cost: 402.03; iterations: 2821
RRTstar_ml: cost: 402.03; iterations: 2823
RRTstar_ml: cost: 401.84; iterations: 2863
RRTstar_ml: cost: 401.84; iterations: 2875
RRTstar_ml: cost: 401.84; iterations: 2885
RRTstar_ml: cost: 401.84; iterations: 2900
RRTstar_ml: cost: 401.84; iterations: 2928
RRTstar_ml: cost: 401.52; iterations: 2983
RRTstar_ml: cost: 401.52; iterations: 2990
RRTstar_ml: cost: 401.52; iterations: 2997
RRTstar_ml: cost: 401.52; iterations: 3000
RRTstar_ml: cost: 401.52; iterations: 3020
RRTstar_ml: cost: 401.52; iterations: 3021
RRTstar_ml: cost: 401.45; iterations: 3070
RRTstar_ml: cost: 401.45; iterations: 3071
RRTstar_ml: cost: 401.45; iterations: 3073
RRTstar_ml: cost: 401.45; iterations: 3075
RRTstar_ml: cost: 401.45; iterations: 3088
RRTstar_ml: cost: 401.45; iterations: 3100
RRTstar_ml: cost: 401.45; iterations: 3108
RRTstar_ml: cost: 401.45; iterations: 3110
RRTstar_ml: cost: 400.74; iterations: 3116
RRTstar_ml: cost: 400.74; iterations: 3142
RRTstar_ml: cost: 400.74; iterations: 3146
RRTstar_ml: cost: 400.74; iterations: 3149
RRTstar_ml: cost: 400.74; iterations: 3200
RRTstar_ml: cost: 400.74; iterations: 3219
RRTstar_ml: cost: 400.74; iterations: 3236
RRTstar_ml: cost: 400.74; iterations: 3277
RRTstar_ml: cost: 400.74; iterations: 3292
RRTstar_ml: cost: 400.74; iterations: 3300
RRTstar_ml: cost: 400.74; iterations: 3323
RRTstar_ml: cost: 400.74; iterations: 3351
RRTstar_ml: cost: 400.74; iterations: 3368
RRTstar_ml: cost: 400.74; iterations: 3384
RRTstar_ml: cost: 400.74; iterations: 3387
RRTstar_ml: cost: 400.74; iterations: 3400
RRTstar_ml: cost: 400.74; iterations: 3413
RRTstar_ml: cost: 400.74; iterations: 3425
RRTstar_ml: cost: 400.74; iterations: 3426
RRTstar_ml: cost: 400.74; iterations: 3448
RRTstar_ml: cost: 400.74; iterations: 3458
RRTstar_ml: cost: 400.74; iterations: 3472
RRTstar_ml: cost: 400.74; iterations: 3482
RRTstar_ml: cost: 400.74; iterations: 3500
RRTstar_ml: cost: 400.74; iterations: 3526
RRTstar_ml: cost: 398.81; iterations: 3529
RRTstar_ml: cost: 398.81; iterations: 3530
RRTstar_ml: cost: 398.81; iterations: 3531
RRTstar_ml: cost: 398.81; iterations: 3544
RRTstar_ml: cost: 398.81; iterations: 3549
RRTstar_ml: cost: 398.81; iterations: 3559
RRTstar_ml: cost: 398.81; iterations: 3565
RRTstar_ml: cost: 398.81; iterations: 3570
RRTstar_ml: cost: 398.81; iterations: 3588
RRTstar_ml: cost: 398.81; iterations: 3595
RRTstar_ml: cost: 398.81; iterations: 3599
RRTstar_ml: cost: 396.54; iterations: 3600
RRTstar_ml: cost: 396.54; iterations: 3613
RRTstar_ml: cost: 396.54; iterations: 3619
RRTstar_ml: cost: 396.54; iterations: 3636
RRTstar_ml: cost: 396.54; iterations: 3638
RRTstar_ml: cost: 396.54; iterations: 3640
RRTstar_ml: cost: 396.54; iterations: 3669
RRTstar_ml: cost: 396.54; iterations: 3672
RRTstar_ml: cost: 396.54; iterations: 3696
RRTstar_ml: cost: 396.54; iterations: 3700
RRTstar_ml: cost: 396.54; iterations: 3726
RRTstar_ml: cost: 396.54; iterations: 3799
RRTstar_ml: cost: 396.54; iterations: 3800
RRTstar_ml: cost: 396.54; iterations: 3800
RRTstar_ml: cost: 396.54; iterations: 3818
RRTstar_ml: cost: 396.54; iterations: 3868
RRTstar_ml: cost: 396.54; iterations: 3875
RRTstar_ml: cost: 396.54; iterations: 3887
RRTstar_ml: cost: 396.54; iterations: 3900
RRTstar_ml: cost: 396.54; iterations: 3918
RRTstar_ml: cost: 396.54; iterations: 3939
RRTstar_ml: cost: 396.54; iterations: 3940
RRTstar_ml: cost: 396.54; iterations: 3943
RRTstar_ml: cost: 396.54; iterations: 3946
RRTstar_ml: cost: 396.54; iterations: 3949
RRTstar_ml: cost: 396.54; iterations: 3974
RRTstar_ml: cost: 396.54; iterations: 4000
RRTstar_ml: cost: 396.54; iterations: 4021
RRTstar_ml: cost: 396.54; iterations: 4024
RRTstar_ml: cost: 396.54; iterations: 4038
RRTstar_ml: cost: 396.54; iterations: 4059
RRTstar_ml: cost: 396.54; iterations: 4067
RRTstar_ml: cost: 396.54; iterations: 4100
RRTstar_ml: cost: 396.54; iterations: 4112
RRTstar_ml: cost: 396.54; iterations: 4116
RRTstar_ml: cost: 396.54; iterations: 4132
RRTstar_ml: cost: 396.54; iterations: 4157
RRTstar_ml: cost: 396.54; iterations: 4200
RRTstar_ml: cost: 396.54; iterations: 4206
RRTstar_ml: cost: 396.54; iterations: 4211
RRTstar_ml: cost: 396.54; iterations: 4212
RRTstar_ml: cost: 396.54; iterations: 4258
RRTstar_ml: cost: 396.54; iterations: 4281
RRTstar_ml: cost: 396.54; iterations: 4300
RRTstar_ml: cost: 396.54; iterations: 4319
RRTstar_ml: cost: 396.54; iterations: 4321
RRTstar_ml: cost: 396.54; iterations: 4374
RRTstar_ml: cost: 396.54; iterations: 4400
RRTstar_ml: cost: 396.54; iterations: 4405
RRTstar_ml: cost: 396.54; iterations: 4412
RRTstar_ml: cost: 396.54; iterations: 4430
RRTstar_ml: cost: 396.54; iterations: 4463
RRTstar_ml: cost: 396.54; iterations: 4500
RRTstar_ml: cost: 396.54; iterations: 4504
RRTstar_ml: cost: 396.54; iterations: 4508
RRTstar_ml: cost: 396.54; iterations: 4528
RRTstar_ml: cost: 396.54; iterations: 4586
RRTstar_ml: cost: 396.54; iterations: 4589
RRTstar_ml: cost: 396.54; iterations: 4592
RRTstar_ml: cost: 396.54; iterations: 4600
RRTstar_ml: cost: 396.54; iterations: 4619
RRTstar_ml: cost: 396.54; iterations: 4641
RRTstar_ml: cost: 396.54; iterations: 4655
RRTstar_ml: cost: 396.54; iterations: 4671
RRTstar_ml: cost: 396.54; iterations: 4672
RRTstar_ml: cost: 396.54; iterations: 4676
RRTstar_ml: cost: 396.54; iterations: 4685
RRTstar_ml: cost: 396.54; iterations: 4692
RRTstar_ml: cost: 395.05; iterations: 4700
RRTstar_ml: cost: 395.05; iterations: 4705
RRTstar_ml: cost: 395.05; iterations: 4725
RRTstar_ml: cost: 395.05; iterations: 4740
RRTstar_ml: cost: 395.05; iterations: 4750
RRTstar_ml: cost: 395.05; iterations: 4755
RRTstar_ml: cost: 395.05; iterations: 4760
RRTstar_ml: cost: 395.05; iterations: 4785
RRTstar_ml: cost: 395.05; iterations: 4810
RRTstar_ml: cost: 395.05; iterations: 4815
RRTstar_ml: cost: 395.05; iterations: 4830
RRTstar_ml: cost: 395.05; iterations: 4920
RRTstar_ml: cost: 395.05; iterations: 4925
RRTstar_ml: cost: 395.05; iterations: 4935
RRTstar_ml: cost: 395.05; iterations: 4965
RRTstar_ml: cost: 395.05; iterations: 4980
RRTstar_ml: cost: 394.47; iterations: 5010
RRTstar_ml: cost: 394.47; iterations: 5020
RRTstar_ml: cost: 394.47; iterations: 5040
